Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,-2.36319808612944,-11.751833519882178,-4.352233175997867,-10.53856467734414,-2.028395010671876 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.384877764594293,-11.629464747177682,-4.346264023983167,-10.439497677687257,-2.054991893505138 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.4140568141558957,-11.630115952853176,-4.368629501523856,-10.43912794105745,-2.0820563814168997 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.442816762670676,-11.630652972602883,-4.3924593285946689,-10.442756443361305,-2.1103999605435397 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.4720515577619777,-11.631226519763754,-4.416179913372503,-10.447370370156591,-2.1398921015389367 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.501665287018386,-11.631803014001675,-4.440171392874674,-10.45238569479966,-2.1700829189842936 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.528987400130258,-11.604815145292874,-4.465239240419123,-10.45940374950419,-2.2002254661389899 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.556476199981402,-11.579226044289403,-4.489175742289319,-10.466377411838096,-2.2299073473455279 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.583756949245722,-11.554930721335304,-4.512844042351219,-10.473262252043299,-2.2591188840114064 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-2.6107845158766698,-11.531850380652413,-4.536213653225673,-10.47992379760558,-2.2879770500554805 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,-2.6389390145484019,-11.485136800046478,-4.543546702325841,-10.451730516904263,-2.3169911004767904 
 01/01  07:30:00,-10.3,31.154557072600015,1.0,22.819555959623899,1.0,22.819555959623899,31.154557072600015,-2.571444330306144,-9.8127845495357,-4.1607092092422139,-10.08339582444205,-2.334250839609456 
 01/01  07:45:00,-10.15,153.83523297055354,1.0,109.75755355442667,1.0,109.75755355442667,153.83523297055354,-2.24145899044036,-3.4620820411603527,-2.5546502536402615,-8.766125956026201,-2.307852509342049 
 01/01  08:00:00,-10.0,282.0771970278173,1.0,195.8764694434918,1.0,195.8764694434918,282.0771970278173,-1.847472836343118,3.0320656925180158,-0.8656991397484717,-7.463989411319972,-2.2317701944373948 
 01/01  08:15:00,-9.725,412.13466881802858,1.0,278.97248314719988,1.0,278.97248314719988,412.13466881802858,-1.5499672397907185,8.221568269869689,0.6328548800375984,-6.311345502163476,-2.1133043469359986 
 01/01  08:30:00,-9.45,551.3806511306236,1.0,364.91995730569456,1.0,364.91995730569456,551.3806511306236,-1.2250253285938398,13.303488174771129,2.1328779603920795,-5.163581029839634,-1.9598576416139575 
 01/01  08:45:00,-9.175,646.2071263676775,1.0,420.35879993239237,1.0,420.35879993239237,646.2071263676775,-1.0144291889706108,16.064690591399225,3.126732979970825,-4.452157903335092,-1.788198575698554 
 01/01  09:00:00,-8.9,745.30505861185,1.0,478.00138373643099,1.0,478.00138373643099,745.30505861185,-0.7626408081971713,19.06091151860753,4.12708866845918,-3.7134076817571897,-1.6040196270553183 
 01/01  09:15:00,-8.350000000000002,847.0548615257089,1.0,536.9185644770597,1.0,536.9185644770597,847.0548615257089,-0.5743523452951193,20.18449147992675,5.159935865866544,-2.925020942219305,-1.4068425425385583 
 01/01  09:30:00,-7.800000000000001,952.6009341930247,1.0,598.0969199229219,1.0,598.0969199229219,952.6009341930247,-0.36532540259649146,21.441928076510885,6.210247194912142,-2.1442751066279017,-1.2005380347612649 
 01/01  09:45:00,-7.25,1023.5226414947458,1.0,637.6133352894237,1.0,637.6133352894237,1023.5226414947458,-0.22022993020507146,21.50569455919815,6.940564896384956,-1.6031867584163707,-0.9977049400547143 
